text,label
"Hey, are we still meeting for lunch tomorrow?",0
"Urgent: Your bank account has been compromised. Verify your details here immediately.",1
"Please remember to submit your project report by Friday.",0
"Congratulations! You've won a $1,000 Walmart gift card. Click here to claim your prize now.",1
"Can you send me the notes from yesterday's lecture?",0
"Your PayPal account is suspended. Click the link to restore access.",1
"Happy birthday! Hope you have a great day.",0
"Security Alert: Unauthorized login attempt detected from Russia. Verify your identity now.",1
"Let's play some games tonight online.",0
"Amazon: Your package could not be delivered due to unpaid shipping fees. Pay $2.99 here.",1
"The meeting has been rescheduled to 3 PM.",0
"URGENT: Verify your Apple ID within 24 hours or it will be permanently locked.",1
"Here is the recipe for the cake you asked for.",0
"You have been selected for an exclusive remote job offering $500/day. Send your resume to this link.",1
"I left my keys at your place, can I pick them up later?",0
"WARNING: Your email storage is full. Please click here to upgrade for free.",1
